"dyad";"role";"obsno";"id";"age";"cond_dyad";"scheduled";"sent";"start";"end";"contact";"PA1";"PA2";"PA3";"NA1";"NA2";"NA3";"location"
1;1;1;1;40;"condB";2018-10-17 10:00:08;2018-10-17 10:00:11;2018-10-17 10:00:14;2018-10-17 10:04:24;0;1;10;35;1;1;1;"D"
1;1;2;1;40;"condB";2018-10-17 11:00:01;2018-10-17 11:00:22;2018-10-17 11:00:31;2018-10-17 11:03:19;0;1;1;26;7;1;13;"C"
1;1;3;1;40;"condB";2018-10-17 11:59:56;2018-10-17 12:00:08;2018-10-17 12:00:20;2018-10-17 12:03:39;0;1;1;14;10;8;32;"D"
1;1;4;1;40;"condB";2018-10-17 12:59:48;2018-10-17 12:59:52;2018-10-17 13:00:12;2018-10-17 13:03:01;0;1;11;25;10;16;28;"A"
1;1;5;1;40;"condB";2018-10-17 14:00:12;2018-10-17 14:00:15;2018-10-17 14:00:25;2018-10-17 14:03:45;0;1;6;32;15;27;28;"E"
1;1;6;1;40;"condB";2018-10-18 09:59:47;2018-10-18 10:00:08;2018-10-18 10:00:11;2018-10-18 10:02:53;0;1;1;25;25;29;26;"A"
1;1;7;1;40;"condB";2018-10-18 10:59:46;2018-10-18 10:59:53;2018-10-18 11:00:02;2018-10-18 11:01:57;0;1;1;5;30;1;35;"A"
1;1;8;1;40;"condB";2018-10-18 12:00:10;2018-10-18 12:00:27;2018-10-18 12:00:41;2018-10-18 12:02:22;0;1;1;7;30;13;41;"A"
1;1;9;1;40;"condB";2018-10-18 12:59:56;2018-10-18 13:00:13;2018-10-18 13:00:30;2018-10-18 13:03:40;0;1;1;16;43;23;46;"B"
1;1;10;1;40;"condB";2018-10-18 14:00:06;2018-10-18 14:00:29;2018-10-18 14:00:41;2018-10-18 14:01:49;0;1;1;1;54;26;49;"A"
1;1;11;1;40;"condB";2018-10-19 09:59:40;2018-10-19 10:00:00;2018-10-19 10:00:08;2018-10-19 10:01:09;0;1;1;1;51;1;52;"E"
1;1;12;1;40;"condB";2018-10-19 11:00:09;2018-10-19 11:00:17;2018-10-19 11:00:38;2018-10-19 11:01:30;0;1;1;1;54;13;64;"D"
1;1;13;1;40;"condB";2018-10-19 12:00:00;2018-10-19 12:00:15;2018-10-19 12:00:54;2018-10-19 12:00:58;0;1;1;1;58;16;59;"B"
1;1;14;1;40;"condB";2018-10-19 12:59:54;2018-10-19 13:00:11;2018-10-19 13:00:27;2018-10-19 13:02:12;0;1;1;1;61;12;72;"A"
1;1;15;1;40;"condB";2018-10-19 14:00:18;2018-10-19 14:00:29;2018-10-19 14:00:49;2018-10-19 14:02:44;0;1;1;1;58;1;68;"A"
1;1;16;1;40;"condB";2018-10-20 10:00:04;2018-10-20 10:00:11;2018-10-20 10:00:22;2018-10-20 10:02:35;0;1;9;3;50;7;76;"B"
1;1;17;1;40;"condB";2018-10-20 11:00:13;2018-10-20 11:00:18;2018-10-20 11:00:27;2018-10-20 11:03:04;0;1;3;6;49;10;81;"E"
1;1;18;1;40;"condB";2018-10-20 12:00:13;2018-10-20 12:00:19;2018-10-20 12:00:29;2018-10-20 12:02:23;0;1;3;1;43;1;90;"C"
1;1;19;1;40;"condB";2018-10-20 13:00:08;2018-10-20 13:00:14;2018-10-20 13:00:44;2018-10-20 13:01:41;0;1;16;6;34;7;88;"A"
1;1;20;1;40;"condB";2018-10-20 14:00:13;2018-10-20 14:00:17;2018-10-20 14:00:32;2018-10-20 14:01:18;0;8;17;18;23;1;91;"D"
1;1;21;1;40;"condB";2018-10-21 10:00:11;2018-10-21 10:00:17;2018-10-21 10:00:27;2018-10-21 10:01:13;0;11;10;20;11;4;85;"A"
1;1;22;1;40;"condB";2018-10-21 10:59:55;2018-10-21 10:59:58;2018-10-21 11:00:00;2018-10-21 11:02:13;0;18;5;13;8;1;77;"A"
1;1;23;1;40;"condB";2018-10-21 12:00:07;2018-10-21 12:00:10;2018-10-21 12:00:20;2018-10-21 12:01:46;0;23;14;17;1;2;79;"E"
1;1;24;1;40;"condB";2018-10-21 13:00:13;2018-10-21 13:00:15;2018-10-21 13:00:18;2018-10-21 13:01:45;0;25;27;29;1;10;72;"A"
1;1;25;1;40;"condB";2018-10-21 14:00:09;2018-10-21 14:00:20;2018-10-21 14:00:43;2018-10-21 14:01:05;0;23;22;45;1;15;73;"D"
1;1;26;1;40;"condB";2018-10-22 10:00:20;2018-10-22 10:00:25;2018-10-22 10:00:31;2018-10-22 10:02:14;0;21;8;38;1;1;70;"B"
1;1;27;1;40;"condB";2018-10-22 11:00:01;2018-10-22 11:00:05;2018-10-22 11:00:16;2018-10-22 11:00:56;0;14;6;32;1;1;69;"B"
1;1;28;1;40;"condB";2018-10-22 11:59:56;2018-10-22 11:59:57;2018-10-22 12:00:23;2018-10-22 12:02:12;0;7;5;30;1;3;62;"D"
1;1;29;1;40;"condB";2018-10-22 13:00:04;2018-10-22 13:00:16;2018-10-22 13:00:33;2018-10-22 13:02:11;0;1;8;30;1;30;65;"D"
1;1;30;1;40;"condB";2018-10-22 13:59:48;2018-10-22 13:59:57;2018-10-22 14:00:19;2018-10-22 14:02:02;0;1;5;35;1;11;66;"C"
1;1;31;1;40;"condB";2018-10-23 10:00:06;2018-10-23 10:00:17;2018-10-23 10:00:29;2018-10-23 10:01:20;0;1;1;32;8;1;73;"D"
1;1;32;1;40;"condB";2018-10-23 11:00:05;2018-10-23 11:00:11;2018-10-23 11:00:20;2018-10-23 11:01:46;0;1;1;22;13;1;78;"E"
1;1;33;1;40;"condB";2018-10-23 11:59:54;2018-10-23 12:00:02;2018-10-23 12:00:07;2018-10-23 12:02:24;0;1;1;16;16;11;79;"B"
1;1;34;1;40;"condB";2018-10-23 12:59:52;2018-10-23 13:00:06;2018-10-23 13:00:17;2018-10-23 13:01:20;0;1;1;19;35;6;77;"D"
1;1;35;1;40;"condB";2018-10-23 13:59:34;2018-10-23 13:59:37;2018-10-23 13:59:48;2018-10-23 14:01:54;0;1;1;9;53;1;82;"C"
